x6,x5,x4,x3,x2,x1,x0,name,article_number, setting_max,setting_min,kv_max,kv_min
-0.0018518938732581193,0.00273637011923946,0.06655636239839144,-0.27001776081843015,0.46358077309383755,-0.30155437672575663,0.12734204028703683,STAD DN10,52 851-010,4.0,0.5,1.36,0.054
-0.005507586075155452,0.05533159522499757,-0.21719316771060398,0.45799075830637076,-0.3978450827758811,0.25255822898243935,0.07493713574062028,STAD DN15,52 851-015,4.0,0.5,2.56,0.136
0.012335447171285343,-0.1503196462145237,0.6984228355478964,-1.6436027266384639,2.5339501092406818,-1.5630020455797173,0.8953668123282983,STAD DN20,52 851-020,4.0,0.5,5.39,0.533
-0.019921809962694128,0.2872727146028476,-1.5761644144500089,3.8130270344948216,-3.127675457492802,1.282472285033362,0.3909845380758231,STAD DN25,52 851-025,4.0,0.5,8.59,0.599
-0.03269978304874562,0.5807277776576336,-3.854057262727329,11.991122672583234,-17.349493708440285,13.195051492029783,-2.4297850960590437,STAD DN32,52 851-032,4.0,0.5,14.2,1.19
0.13259732931197776,-1.70691764106669,8.235250293025564,-18.37244844388066,19.839451637652406,-6.975479644550275,2.2733581437084567,STAD DN40,52 851-040,4.0,0.5,19.3,1.89
-0.07838840677017514,1.0197964043569245,-5.164159523501329,12.343246010736447,-11.555293317944283,6.114708245115067,1.3899537943197025,STAD DN50,52 851-050,4.0,0.5,32.3,2.62
0.00419192055159362,-0.11002926852843975,1.1755080689794777,-6.099303759352435,16.67142421707093,-15.818590157781175,10.791063348423679,TA-BVS DN100,6-52 240-090,9.0,1.0,216.0,6.48
0.0025677151104505115,-0.08525880903313013,1.1006159736666175,-6.38939447279873,18.99510705330815,-16.601613410347642,11.681372549008742,TA-BVS DN125,6-52 240-091,9.0,1.0,294.0,8.6
0.007715708709108832,-0.2562152479367557,3.2195735009356157,-18.518624258355292,53.99814904167215,-60.42607772378469,36.16666666664936,TA-BVS DN150,6-52 240-092,9.0,1.0,461.0,13.7
-0.00018186984939201959,-0.062144126793382166,1.5090482781143397,-11.833122620631155,44.423535198721694,-53.81077730719748,38.081297134223625,TA-BVS DN200,6-52 240-093,9.0,1.0,660.0,19.7
-0.019023346943655116,0.45967714880342414,-4.146275453206359,19.507662970126574,-44.022732770490464,77.57965252248354,-14.386802413259929,TA-BVS DN250,6-52 240-094,9.0,1.0,1170.0,35.0
0.0006791403060074093,-0.018223538385588444,0.18473283839126595,-0.8172576113693341,1.9643578163846922,-0.0034884375456139686,1.1801734539944848,TA-BVS DN65,6-52 240-065,9.0,1.0,61.2,2.52
-0.0005069023795650089,0.01582515505766607,-0.16814313391899222,0.8922451601688459,-1.9104783793793763,5.765827386450604,-1.2289291101121036,TA-BVS DN80,6-52 240-080,9.0,1.0,108.0,3.42
